id,url,airframe,make,model,category,categoryReadable,callsign,registration,operatorId,operatorName
2343,https://arena.nafc.org.au/resource/api/ext/aircraft/2343,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,HIP-(B3),ZK-HIP,532,Helisika Helicopters
2236,https://arena.nafc.org.au/resource/api/ext/aircraft/2236,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HIX-(JR),ZK-HIX,502,Heli Resources 2012 Limited
2657,https://arena.nafc.org.au/resource/api/ext/aircraft/2657,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,HJC-(BK),ZK-HJC,461,GCH Aviation
2614,https://arena.nafc.org.au/resource/api/ext/aircraft/2614,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HJI-(JR),ZK-HJI,576,Marlborough Helicopters
2131,https://arena.nafc.org.au/resource/api/ext/aircraft/2131,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,HJK-(BK),ZK-HJK,468,Heli Otago
2081,https://arena.nafc.org.au/resource/api/ext/aircraft/2081,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,HJM-(FX2),ZK-HJM,453,Amuri Helicopters Limited
2592,https://arena.nafc.org.au/resource/api/ext/aircraft/2592,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D,RotType3,RW - Type 3 Light,HJO-(500),ZK-HJO,559,Fiordland Helicopters Ltd
2088,https://arena.nafc.org.au/resource/api/ext/aircraft/2088,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,HJS-(500),ZK-HJS,455,Aspiring Helicopters Limited
2232,https://arena.nafc.org.au/resource/api/ext/aircraft/2232,HELICOPTER,BELL HELICOPTER CO,UH-1H,RotType2,RW - Type 2 Medium,HJX-(UH-1),ZK-HJX,502,Heli Resources 2012 Limited
2541,https://arena.nafc.org.au/resource/api/ext/aircraft/2541,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HJZ-(B2),ZK-HJZ,565,Nelson Tasman Air & Inflite Charters
