id,entityID,url,jurisdiction,name,note,lat,long,locality,managingOrganisation,contactName,contactNumber,classification,status,lastReview,adviceToPilots,hasAirfield,hasHelipad,basePhoneNumber
-244,39591,https://arena.nafc.org.au/register/api/locations/-244,NSW,GUNDAGAI SHOW GROUND,null,-35.0698,148.1203,null,null,null,null,null,Unknown,null,null,null,null,null
-243,39590,https://arena.nafc.org.au/register/api/locations/-243,NSW,GUNDAGAI,null,-35.0652,148.1050,null,null,null,null,null,Unknown,null,null,null,null,null
-242,39589,https://arena.nafc.org.au/register/api/locations/-242,NSW,GRIFFITH Airport,null,-34.2517,146.0667,null,null,null,null,null,Unknown,null,null,null,null,null
-241,39588,https://arena.nafc.org.au/register/api/locations/-241,NSW,GRIFFITH,null,-32.9833,145.9167,null,null,null,null,null,Unknown,null,null,null,null,null
-240,39587,https://arena.nafc.org.au/register/api/locations/-240,NSW,GRENFELL SHOWGROUND,null,-33.8895,148.1592,null,null,null,null,null,Unknown,null,null,null,null,null
-239,39586,https://arena.nafc.org.au/register/api/locations/-239,NSW,GREEN VALLEY,null,-33.9058,150.8667,null,null,null,null,null,Unknown,null,null,null,null,null
-237,39584,https://arena.nafc.org.au/register/api/locations/-237,NSW,GRAFTON,null,-29.6910,152.9325,null,null,null,null,null,Unknown,null,null,null,null,null
-236,39583,https://arena.nafc.org.au/register/api/locations/-236,NSW,GOWRIE,null,-31.3255,150.8582,null,null,null,null,null,Unknown,null,null,null,null,null
-235,39582,https://arena.nafc.org.au/register/api/locations/-235,NSW,GOULBURN AIRPORT,null,-34.8100,149.7267,null,null,null,null,null,Unknown,null,null,null,null,null
-234,39581,https://arena.nafc.org.au/register/api/locations/-234,NSW,Gospers Mountain Airstrip,null,-33.0500,150.3700,null,null,null,null,null,Unknown,null,null,null,null,null
-233,39580,https://arena.nafc.org.au/register/api/locations/-233,NSW,GOSFORD FCC,null,-33.4490,151.2915,null,null,null,null,null,Unknown,null,null,null,null,null
-232,39579,https://arena.nafc.org.au/register/api/locations/-232,NSW,GOSFORD,null,-33.3092,150.9582,null,null,null,null,null,Unknown,null,null,null,null,null
-231,39578,https://arena.nafc.org.au/register/api/locations/-231,NSW,GOOBANG NP,null,-33.5913,148.6847,null,null,null,null,null,Unknown,null,null,null,null,null
-229,39577,https://arena.nafc.org.au/register/api/locations/-229,NSW,GOLDFIELDS HELI PAD,null,-29.9410,152.4560,null,null,null,null,null,Unknown,null,null,null,null,null
-228,39576,https://arena.nafc.org.au/register/api/locations/-228,QLD,GOLD COAST AIRPORT,null,-28.1650,153.5050,null,null,null,null,Secondary,Current,null,null,null,null,null
-227,39575,https://arena.nafc.org.au/register/api/locations/-227,NSW,GODFREYS CREEK,null,-34.1468,148.7238,null,null,null,null,null,Unknown,null,null,null,null,null
-226,39574,https://arena.nafc.org.au/register/api/locations/-226,NSW,GLOUCESTER FCC,null,-32.0297,151.9538,null,null,null,null,null,Unknown,null,null,null,null,null
-225,39573,https://arena.nafc.org.au/register/api/locations/-225,NSW,GLOUCESTER AIRSTRIP,null,-32.0242,151.9522,null,null,null,null,null,Unknown,null,null,null,null,null
